,True Rating,Predicted Rating,True Genre,Predicted Genre
702,0.0,0.0,Fiction,Fiction
706,4.36,4.017,Fiction,Fiction
709,4.69,4.384,Non-Fiction,Fiction
711,3.58,4.328,Fiction,Non-Fiction
720,0.0,0.0,Fiction,Fiction
725,4.56,3.864,Fiction,Fiction
728,4.43,4.343,Non-Fiction,Fiction
729,4.54,4.428,Fiction,Fiction
733,4.64,4.544,Fiction,Fiction
734,4.23,4.183000000000001,Non-Fiction,Fiction
744,4.69,4.163,Fiction,Fiction
746,4.5,4.246,Fiction,Fiction
748,3.98,4.1770000000000005,Fiction,Fiction
754,4.45,4.481000000000001,Fiction,Fiction
764,4.69,4.458,Fiction,Fiction
771,4.67,4.3980000000000015,Fiction,Fiction
772,4.74,4.494,Non-Fiction,Non-Fiction
775,4.27,4.397,Non-Fiction,Fiction
780,0.0,0.0,Fiction,Fiction
783,4.52,4.478000000000001,Fiction,Non-Fiction
784,4.79,4.607,Fiction,Fiction
786,4.77,4.392999999999999,Fiction,Fiction
787,4.54,4.471,Non-Fiction,Fiction
799,4.14,4.331,Fiction,Fiction
803,4.85,4.608,Fiction,Fiction
806,4.38,4.475999999999999,Fiction,Fiction
807,0.0,0.0,Fiction,Fiction
810,3.86,4.436999999999999,Fiction,Fiction
819,4.58,4.327,Fiction,Fiction
820,4.89,4.407,Fiction,Fiction
821,3.52,4.596,Non-Fiction,Fiction
822,4.2,4.455,Non-Fiction,Fiction
825,4.82,4.463000000000001,Fiction,Fiction
829,3.76,4.149,Fiction,Fiction
834,4.51,4.547,Fiction,Fiction
835,3.98,4.053000000000001,Fiction,Fiction
842,4.59,4.546,Fiction,Fiction
843,4.83,4.324,Fiction,Fiction
845,4.54,3.8289999999999993,Non-Fiction,Fiction
847,4.37,4.328,Fiction,Fiction
849,4.36,4.613999999999999,Non-Fiction,Fiction
850,3.64,4.427999999999999,Non-Fiction,Fiction
854,4.58,4.024,Fiction,Fiction
858,4.01,4.346000000000001,Fiction,Non-Fiction
871,4.44,4.429,Non-Fiction,Non-Fiction
874,4.18,4.2780000000000005,Fiction,Fiction
878,4.21,4.285,Fiction,Fiction
888,4.02,4.093000000000001,Fiction,Fiction
893,4.31,4.104,Fiction,Fiction
894,4.38,4.424999999999999,Fiction,Fiction
895,4.45,4.220000000000001,Fiction,Fiction
899,4.64,4.565,Fiction,Fiction
901,4.57,4.3199999999999985,Fiction,Fiction
910,4.0,4.517,Fiction,Fiction
914,4.58,4.388,Non-Fiction,Fiction
926,4.83,4.541,Non-Fiction,Non-Fiction
927,4.08,4.398000000000001,Fiction,Fiction
939,4.09,4.544,Fiction,Fiction
940,4.09,4.363999999999999,Fiction,Fiction
958,0.0,0.0,Fiction,Fiction
962,4.51,4.159,Fiction,Fiction
966,4.31,4.474,Fiction,Fiction
967,4.0,4.398999999999999,Fiction,Fiction
978,4.94,4.385,Fiction,Fiction
979,4.66,4.514,Fiction,Fiction
985,4.84,4.313,Fiction,Fiction
994,4.72,4.536,Fiction,Fiction
1003,4.42,4.695000000000001,Non-Fiction,Fiction
1005,5.0,4.32,Fiction,Fiction
1006,4.36,4.081,Fiction,Fiction
1008,0.0,0.0,Fiction,Fiction
1012,4.62,4.398000000000001,Fiction,Fiction
1017,3.9,4.5280000000000005,Non-Fiction,Fiction
1020,4.65,4.256,Fiction,Fiction
1025,4.33,4.561,Fiction,Fiction
1027,4.53,4.519,Non-Fiction,Fiction
1032,2.76,4.508,Fiction,Fiction
1035,4.04,4.523,Non-Fiction,Fiction
1043,4.39,4.069,Fiction,Fiction
1054,4.61,4.2459999999999996,Fiction,Fiction
1058,4.22,4.188999999999999,Fiction,Fiction
1064,4.57,4.443,Fiction,Fiction
1072,4.66,4.475,Non-Fiction,Non-Fiction
1085,4.58,4.552999999999999,Non-Fiction,Fiction
1101,4.26,4.295,Non-Fiction,Fiction
1103,4.64,4.564,Fiction,Fiction
1105,4.5,4.509,Fiction,Non-Fiction
1106,4.4,4.266,Non-Fiction,Fiction
1115,4.36,4.333,Fiction,Fiction
1118,4.76,4.367,Fiction,Fiction
1119,4.55,4.349,Fiction,Fiction
1128,3.9,4.547000000000001,Fiction,Fiction
1147,4.3,4.787000000000001,Fiction,Fiction
1148,4.85,4.317,Fiction,Fiction
1151,5.0,4.1899999999999995,Fiction,Non-Fiction
1158,5.0,4.14,Fiction,Fiction
1165,4.68,4.662000000000001,Fiction,Fiction
1170,4.09,4.216,Fiction,Fiction
1180,4.64,4.363999999999999,Fiction,Fiction
1187,4.66,4.272,Fiction,Fiction
1189,3.71,4.094,Fiction,Fiction
1193,4.15,4.335,Fiction,Fiction
1195,4.13,4.25,Fiction,Non-Fiction
1197,4.55,4.334,Fiction,Fiction
1202,4.33,4.373,Fiction,Fiction
1205,4.49,4.374,Fiction,Fiction
1206,4.94,4.575,Fiction,Fiction
1209,3.61,4.484999999999999,Fiction,Fiction
1210,4.3,4.477,Fiction,Fiction
1220,4.4,4.64,Fiction,Fiction
1225,4.11,4.464,Fiction,Fiction
1232,4.67,4.1450000000000005,Fiction,Fiction
1244,4.21,4.391,Fiction,Fiction
1246,4.28,4.4479999999999995,Non-Fiction,Fiction
1253,4.39,4.244,Fiction,Fiction
1254,4.32,4.335,Fiction,Non-Fiction
1255,4.36,4.4670000000000005,Fiction,Fiction
1260,4.03,4.323,Fiction,Fiction
1264,3.88,4.243,Non-Fiction,Fiction
1267,4.34,4.17,Fiction,Fiction
1278,4.51,4.4830000000000005,Fiction,Fiction
1284,3.7,4.4590000000000005,Non-Fiction,Fiction
1302,4.75,4.614,Fiction,Fiction
1307,4.12,4.326,Fiction,Fiction
1313,4.89,4.319000000000001,Fiction,Fiction
1319,3.41,4.165000000000001,Fiction,Fiction
1328,4.89,4.292,Non-Fiction,Non-Fiction
1335,4.24,4.375,Fiction,Fiction
1340,4.41,4.422,Non-Fiction,Fiction
1346,4.62,4.587000000000001,Fiction,Fiction
1347,4.47,4.301,Fiction,Fiction
1353,4.0,4.525,Fiction,Fiction
1359,4.71,4.411,Fiction,Fiction
1360,4.29,4.245,Non-Fiction,Fiction
1362,4.47,4.3260000000000005,Non-Fiction,Fiction
1370,4.66,4.353,Fiction,Fiction
1371,4.33,4.648999999999999,Fiction,Fiction
1372,4.47,4.304,Fiction,Fiction
1377,4.46,4.037,Fiction,Fiction
1390,4.6,4.417000000000001,Fiction,Fiction
1394,4.31,4.083,Fiction,Fiction
1399,4.0,4.325,Fiction,Fiction
1408,4.43,4.461,Fiction,Fiction
1439,4.71,4.62,Non-Fiction,Fiction
1448,3.86,4.220000000000001,Fiction,Fiction
1449,4.19,4.394,Fiction,Fiction
1453,4.01,4.285,Fiction,Fiction
1462,4.63,4.554,Fiction,Fiction
1464,4.49,3.8860000000000006,Fiction,Non-Fiction
1468,4.44,4.2490000000000006,Fiction,Fiction
1472,4.61,4.44,Fiction,Fiction
1491,3.96,4.532,Non-Fiction,Fiction
1493,4.75,4.1419999999999995,Fiction,Fiction
1495,3.92,4.444999999999999,Fiction,Fiction
1499,4.39,4.455,Non-Fiction,Fiction
1501,4.54,4.687,Fiction,Fiction
1504,4.72,4.313000000000001,Fiction,Fiction
1507,4.73,4.499,Fiction,Fiction
1508,4.67,4.586,Non-Fiction,Non-Fiction
1515,0.0,0.0,Fiction,Fiction
1526,4.07,4.304,Fiction,Fiction
1527,4.24,4.331,Fiction,Fiction
1529,4.58,4.442,Fiction,Fiction
1532,4.07,4.305,Fiction,Fiction
1538,4.12,4.491,Fiction,Fiction
1540,3.75,4.423,Non-Fiction,Fiction
1541,4.45,4.214,Fiction,Fiction
1546,4.37,4.2730000000000015,Fiction,Fiction
1551,3.91,4.368999999999999,Fiction,Fiction
1552,4.23,3.9929999999999994,Fiction,Fiction
1569,4.77,4.208,Fiction,Fiction
1570,3.84,4.532000000000001,Fiction,Fiction
1579,4.54,4.587000000000001,Fiction,Fiction
1582,4.36,4.345000000000001,Fiction,Non-Fiction
1586,3.95,4.341,Non-Fiction,Fiction
1588,4.0,4.321,Fiction,Fiction
1590,4.38,4.515,Non-Fiction,Fiction
1591,4.2,4.397,Non-Fiction,Fiction
1598,3.92,4.276,Fiction,Fiction
1599,4.07,4.616,Fiction,Fiction
1610,4.82,4.264,Fiction,Fiction
1611,4.66,4.234,Non-Fiction,Non-Fiction
1612,4.6,4.429,Fiction,Fiction
1614,4.58,4.369000000000001,Non-Fiction,Non-Fiction
1617,4.16,4.16,Fiction,Fiction
1618,3.76,4.506,Fiction,Fiction
1625,4.5,4.193,Fiction,Fiction
1653,4.4,4.337999999999999,Non-Fiction,Fiction
1656,4.38,4.074000000000001,Fiction,Fiction
1657,4.3,4.369999999999999,Non-Fiction,Fiction
1659,4.32,4.51,Non-Fiction,Non-Fiction
1661,4.55,4.482,Fiction,Fiction
1663,0.0,0.0,Fiction,Fiction
1669,4.83,4.566999999999999,Fiction,Fiction
1673,4.16,4.399,Fiction,Fiction
1674,4.0,4.909000000000001,Fiction,Fiction
1681,4.3,4.386,Fiction,Fiction
1683,3.5,4.5520000000000005,Fiction,Fiction
1684,4.64,4.659,Fiction,Fiction
1703,4.86,4.417999999999999,Non-Fiction,Fiction
1710,4.8,4.430000000000001,Fiction,Fiction
1727,4.18,4.058000000000001,Fiction,Fiction
1730,4.73,4.2989999999999995,Fiction,Fiction
1732,4.18,4.178000000000001,Fiction,Fiction
1736,4.21,4.491999999999999,Fiction,Fiction
1743,4.9,4.958,Fiction,Fiction
1746,4.42,4.225,Non-Fiction,Fiction
1747,4.96,4.7139999999999995,Fiction,Fiction
1751,3.81,4.494,Non-Fiction,Fiction
1753,4.87,4.603,Fiction,Fiction
1760,4.65,4.398999999999999,Fiction,Fiction
1761,5.0,4.547,Fiction,Fiction
1762,4.9,4.313000000000001,Non-Fiction,Non-Fiction
1763,4.63,4.1899999999999995,Fiction,Fiction
1764,2.84,4.519,Fiction,Fiction
1766,4.69,4.433999999999999,Fiction,Fiction
1778,4.31,4.204,Non-Fiction,Fiction
1783,4.24,4.381,Fiction,Fiction
1785,4.57,4.365,Fiction,Fiction
1788,4.52,4.506,Fiction,Fiction
1789,4.44,4.055000000000001,Fiction,Fiction
1791,4.65,4.458,Fiction,Fiction
1796,4.82,4.58,Fiction,Fiction
1800,4.44,4.464999999999999,Non-Fiction,Fiction
1821,4.41,4.406999999999999,Fiction,Fiction
1823,4.25,4.325,Fiction,Fiction
1831,3.93,4.075000000000001,Fiction,Fiction
1833,4.67,4.539,Fiction,Fiction
1836,4.47,4.453999999999999,Fiction,Fiction
1838,4.0,4.453,Fiction,Fiction
1840,4.56,4.487,Fiction,Fiction
1847,4.66,4.311999999999999,Fiction,Fiction
1848,4.0,4.9,Fiction,Fiction
1860,4.94,4.476000000000001,Non-Fiction,Non-Fiction
1868,5.0,4.578999999999999,Fiction,Fiction
1870,4.94,4.474,Fiction,Fiction
1871,3.92,4.23,Fiction,Fiction
1873,4.71,4.368,Non-Fiction,Non-Fiction
1883,4.13,4.505000000000001,Non-Fiction,Fiction
1886,4.32,4.48,Fiction,Fiction
1901,4.32,4.591,Fiction,Fiction
1910,4.48,4.256,Fiction,Fiction
1917,4.55,4.156999999999999,Fiction,Fiction
1919,4.12,4.1899999999999995,Fiction,Fiction
1926,4.66,4.592999999999999,Fiction,Fiction
1927,4.54,4.366999999999999,Fiction,Fiction
1928,4.75,4.481999999999999,Fiction,Fiction
1935,4.91,4.532,Non-Fiction,Fiction
1937,4.26,4.247999999999999,Fiction,Fiction
1948,4.0,4.526999999999999,Fiction,Fiction
1952,4.28,4.144,Fiction,Fiction
1954,4.62,4.5920000000000005,Fiction,Fiction
1958,4.07,4.107,Fiction,Fiction
1959,4.6,4.563000000000001,Non-Fiction,Non-Fiction
1964,4.15,4.606,Fiction,Fiction
1968,4.76,4.600999999999999,Non-Fiction,Fiction
1988,3.57,4.0329999999999995,Non-Fiction,Fiction
1989,4.46,4.5409999999999995,Fiction,Fiction
1993,4.22,4.202,Non-Fiction,Fiction
1996,3.9,4.427000000000001,Fiction,Fiction
2002,0.0,0.0,Fiction,Fiction
2008,4.53,4.558999999999999,Non-Fiction,Fiction
2027,4.75,4.366,Fiction,Non-Fiction
2029,4.48,4.422000000000001,Fiction,Fiction
2030,4.8,4.483,Non-Fiction,Non-Fiction
2031,4.29,4.353,Fiction,Fiction
2036,4.35,4.35,Non-Fiction,Fiction
2037,4.5,4.664,Fiction,Fiction
2038,4.25,4.307,Fiction,Fiction
2040,5.0,4.308,Non-Fiction,Fiction
2042,4.62,4.548,Fiction,Fiction
2053,4.26,4.497,Fiction,Fiction
2054,5.0,4.1579999999999995,Fiction,Fiction
2057,4.33,4.103,Fiction,Fiction
2063,4.55,4.584,Fiction,Fiction
2066,5.0,4.05,Fiction,Fiction
2067,4.0,3.772,Fiction,Fiction
2071,4.11,4.356,Fiction,Fiction
2079,4.43,4.492,Fiction,Fiction
2083,3.94,4.401999999999999,Fiction,Fiction
2085,4.84,3.9959999999999996,Non-Fiction,Fiction
2089,4.91,4.384,Fiction,Fiction
2090,4.52,4.407,Fiction,Fiction
2095,4.55,4.332000000000001,Fiction,Fiction
2097,4.27,4.246,Non-Fiction,Non-Fiction
2098,4.7,3.6519999999999997,Non-Fiction,Fiction
2100,4.35,4.335000000000001,Fiction,Fiction
2103,4.37,4.376,Fiction,Fiction
2116,4.16,4.331,Fiction,Non-Fiction
2128,4.76,4.055000000000001,Fiction,Fiction
2132,4.33,4.4,Fiction,Fiction
2138,3.75,4.421999999999999,Fiction,Fiction
2139,4.46,4.2,Fiction,Fiction
2140,4.29,4.566999999999999,Fiction,Fiction
2142,4.28,3.993,Fiction,Fiction
2151,4.0,4.095000000000001,Fiction,Fiction
2155,4.37,4.204000000000001,Fiction,Fiction
2156,4.25,4.203,Fiction,Fiction
2157,4.33,4.348,Fiction,Fiction
2158,4.57,4.079,Non-Fiction,Non-Fiction
2171,4.24,4.324,Fiction,Fiction
2173,4.28,4.281999999999999,Fiction,Fiction
2177,3.52,4.399000000000001,Fiction,Fiction
2182,4.12,4.266,Fiction,Fiction
2186,4.83,4.0520000000000005,Fiction,Non-Fiction
2189,4.53,4.3660000000000005,Fiction,Fiction
2206,3.81,4.433999999999999,Fiction,Fiction
2208,4.29,4.548,Fiction,Non-Fiction
2211,4.78,4.3340000000000005,Non-Fiction,Fiction
2219,4.54,3.807,Fiction,Fiction
2229,4.41,4.434,Fiction,Fiction
2230,4.13,4.466,Fiction,Fiction
2231,4.81,4.372,Fiction,Fiction
2238,4.26,4.478,Non-Fiction,Fiction
2240,4.44,4.324,Non-Fiction,Non-Fiction
2248,4.51,4.301,Non-Fiction,Fiction
2251,4.85,3.85,Fiction,Fiction
2252,4.35,4.1899999999999995,Fiction,Fiction
2256,4.39,4.130999999999999,Non-Fiction,Fiction
2270,4.55,4.042,Fiction,Fiction
2276,4.32,4.508000000000001,Fiction,Fiction
2278,0.0,0.0,Fiction,Fiction
2283,3.75,4.5889999999999995,Fiction,Fiction
2289,4.75,4.376,Non-Fiction,Non-Fiction
2290,3.45,4.505,Fiction,Fiction
2303,0.0,0.0,Fiction,Fiction
2304,4.3,4.339,Fiction,Fiction
2306,4.78,4.603,Non-Fiction,Fiction
2336,4.07,4.177999999999999,Fiction,Fiction
2337,4.63,4.486,Fiction,Fiction
2340,4.45,4.307,Fiction,Fiction
2343,3.0,4.659000000000001,Fiction,Fiction
2347,4.58,4.337000000000001,Fiction,Fiction
2350,4.25,4.26,Non-Fiction,Fiction
2351,3.91,4.67,Non-Fiction,Fiction
2355,4.7,4.5649999999999995,Non-Fiction,Non-Fiction
2359,4.31,4.62,Non-Fiction,Non-Fiction
2363,5.0,4.65,Fiction,Fiction
2376,4.4,4.436,Fiction,Fiction
2384,4.26,3.8,Fiction,Fiction
2386,4.03,4.452,Fiction,Fiction
2390,4.6,4.335,Fiction,Fiction
2397,4.46,4.271999999999999,Fiction,Fiction
2399,4.27,4.475,Fiction,Fiction
2411,4.42,4.298,Fiction,Fiction
2412,3.92,4.178999999999999,Fiction,Fiction
2416,4.54,4.45,Fiction,Fiction
2426,2.33,4.3309999999999995,Fiction,Fiction
2429,4.46,4.331999999999999,Fiction,Fiction
2438,4.81,4.425000000000001,Non-Fiction,Non-Fiction
2443,4.29,4.234,Fiction,Fiction
2448,4.59,4.2299999999999995,Fiction,Fiction
2450,4.1,4.233,Fiction,Fiction
2451,0.0,0.0,Fiction,Fiction
2453,4.39,4.529999999999999,Non-Fiction,Fiction
2455,4.48,4.424999999999999,Non-Fiction,Fiction
2466,4.26,3.7040000000000006,Fiction,Fiction
2475,4.15,4.4590000000000005,Fiction,Fiction
2484,4.46,4.169,Non-Fiction,Non-Fiction
2491,4.46,4.505,Non-Fiction,Non-Fiction
2494,4.53,4.501,Fiction,Fiction
2502,3.36,4.293000000000001,Fiction,Fiction
2506,4.23,4.517,Fiction,Fiction
2511,0.0,0.0,Fiction,Fiction
2516,3.47,4.286,Fiction,Fiction
2518,4.6,4.679,Fiction,Fiction
2519,4.64,4.503,Non-Fiction,Non-Fiction
2521,4.84,4.176,Non-Fiction,Non-Fiction
2522,4.06,4.246,Fiction,Fiction
2523,4.17,4.494,Fiction,Fiction
2527,4.16,4.159999999999999,Non-Fiction,Fiction
2531,4.23,4.274,Fiction,Fiction
2538,4.43,4.436,Fiction,Fiction
2545,4.8,3.9779999999999993,Non-Fiction,Non-Fiction
2546,4.38,4.149,Non-Fiction,Fiction
2548,4.61,4.331999999999999,Fiction,Fiction
2560,4.39,4.471,Fiction,Fiction
2565,4.72,4.481999999999999,Non-Fiction,Non-Fiction
2566,4.73,4.556,Fiction,Fiction
2572,4.7,4.527,Fiction,Non-Fiction
2575,4.5,4.412000000000001,Fiction,Fiction
2585,4.71,4.199,Fiction,Fiction
2586,4.66,4.466,Fiction,Fiction
2589,5.0,4.305,Fiction,Fiction
2592,4.9,4.452,Fiction,Fiction
2593,4.63,4.496,Fiction,Fiction
2597,4.61,4.326,Fiction,Fiction
2607,4.27,4.25,Non-Fiction,Non-Fiction
2611,4.61,4.267,Fiction,Fiction
2624,5.0,4.805,Fiction,Fiction
2630,4.39,4.247999999999999,Fiction,Fiction
2634,4.42,4.3100000000000005,Fiction,Fiction
2635,3.94,4.183,Non-Fiction,Non-Fiction
2636,4.28,4.401999999999999,Non-Fiction,Fiction
2637,4.35,4.431,Fiction,Non-Fiction
2638,4.35,4.325,Fiction,Fiction
2644,3.81,4.225,Fiction,Fiction
2647,0.0,0.0,Fiction,Fiction
2648,3.8,4.515000000000001,Fiction,Fiction
2656,4.75,4.4879999999999995,Non-Fiction,Non-Fiction
2662,4.43,4.464,Fiction,Fiction
2666,4.33,4.421999999999999,Non-Fiction,Non-Fiction
2669,4.43,4.665,Fiction,Fiction
2670,4.41,4.439,Fiction,Fiction
2673,5.0,4.38,Fiction,Fiction
2675,4.34,3.84,Fiction,Fiction
2677,4.88,4.575,Fiction,Fiction
2680,3.02,4.379,Non-Fiction,Fiction
2683,4.79,4.242,Fiction,Fiction
2688,0.0,0.0,Fiction,Fiction
2697,4.3,4.470000000000001,Fiction,Fiction
2702,4.68,4.465999999999999,Fiction,Fiction
2712,4.13,4.518,Fiction,Fiction
2715,4.5,4.274,Fiction,Fiction
2721,0.0,0.0,Non-Fiction,Fiction
2727,4.75,4.563,Fiction,Fiction
2732,3.95,4.604000000000001,Fiction,Fiction
2733,4.69,4.1819999999999995,Fiction,Non-Fiction
2739,4.78,4.435,Fiction,Fiction
2743,4.39,4.1979999999999995,Non-Fiction,Non-Fiction
2745,4.85,4.333,Fiction,Non-Fiction
2748,4.21,4.243,Fiction,Fiction
2753,4.33,4.414,Fiction,Fiction
2755,3.6,4.142,Fiction,Fiction
2759,4.7,4.504,Fiction,Fiction
